,Regulon_ID,Regulator,Gene
0,0,ENSG00000005889,ENSG00000048392
1,0,ENSG00000005889,ENSG00000103067
2,0,ENSG00000005889,ENSG00000119699
3,0,ENSG00000005889,ENSG00000124701
4,0,ENSG00000005889,ENSG00000127995
5,0,ENSG00000005889,ENSG00000140522
6,0,ENSG00000005889,ENSG00000166704
7,0,ENSG00000005889,ENSG00000176986
8,0,ENSG00000005889,ENSG00000177984
9,0,ENSG00000005889,ENSG00000185958
10,0,ENSG00000005889,ENSG00000197016
11,0,ENSG00000005889,ENSG00000198346
12,1,ENSG00000005889,ENSG00000108773
13,1,ENSG00000005889,ENSG00000141499
14,1,ENSG00000005889,ENSG00000161179
15,1,ENSG00000005889,ENSG00000166166
16,1,ENSG00000005889,ENSG00000172809
17,1,ENSG00000005889,ENSG00000274287
18,2,ENSG00000007372,ENSG00000087510
19,2,ENSG00000007372,ENSG00000090339
20,2,ENSG00000007372,ENSG00000104472
21,2,ENSG00000007372,ENSG00000133321
22,2,ENSG00000007372,ENSG00000147883
23,2,ENSG00000007372,ENSG00000152061
24,2,ENSG00000007372,ENSG00000160223
25,2,ENSG00000007372,ENSG00000165410
26,2,ENSG00000007372,ENSG00000175155
27,3,ENSG00000007372,ENSG00000007350
28,3,ENSG00000007372,ENSG00000099625
29,3,ENSG00000007372,ENSG00000115414
30,3,ENSG00000007372,ENSG00000115507
31,3,ENSG00000007372,ENSG00000128917
32,3,ENSG00000007372,ENSG00000133805
33,3,ENSG00000007372,ENSG00000179044
34,3,ENSG00000007372,ENSG00000196878
35,4,ENSG00000012048,ENSG00000089127
36,4,ENSG00000012048,ENSG00000115596
37,4,ENSG00000012048,ENSG00000123080
38,4,ENSG00000012048,ENSG00000123815
39,4,ENSG00000012048,ENSG00000147586
40,4,ENSG00000012048,ENSG00000154473
41,4,ENSG00000012048,ENSG00000182400
42,4,ENSG00000012048,ENSG00000182459
43,4,ENSG00000012048,ENSG00000196724
44,5,ENSG00000020633,ENSG00000043462
45,5,ENSG00000020633,ENSG00000046653
46,5,ENSG00000020633,ENSG00000074590
